price_in_aud,brand,year,made_in,body_type,engine_power_hp,torque_nm,no_of_cylinders,transmission_type,gear_box_speed,steering_type,kerb_weight_lbs,front_brake,rear_brake,mileage_in_city_mpg,mileage_on_highway_mpg,fuel_type,seating_capacity,fuel_tank_capacity_litres,no_of_doors
46714.0,Honda,2022,Japan,sedan,192.0,260.35200000000003,4.0,automatic,8,power,3221.0,disc,disc,30.0,38.0,gasoline,5,56.092000000000006,4
41155.0,Honda,2022,Japan,sedan,192.0,260.35200000000003,4.0,automatic,8,power,3223.0,disc,disc,29.0,35.0,gasoline,5,56.092000000000006,4
37613.0,Honda,2022,Japan,sedan,192.0,260.35200000000003,4.0,automatic,8,power,3150.0,disc,disc,30.0,38.0,gasoline,5,56.092000000000006,4
53035.0,Honda,2022,Japan,suv,280.0,355.27200000000005,6.0,automatic,9,power,4030.0,abs,abs,20.0,27.0,gasoline,8,73.905,5
73973.0,Honda,2022,Japan,suv,280.0,355.27200000000005,6.0,automatic,9,power,4321.0,abs,abs,19.0,26.0,gasoline,7,73.905,4
55915.0,Honda,2022,Japan,suv,280.0,355.27200000000005,6.0,automatic,9,power,4202.0,abs,abs,19.0,26.0,gasoline,8,73.905,5
53035.0,Honda,2022,Japan,suv,280.0,355.27200000000005,6.0,automatic,9,power,4030.0,abs,abs,20.0,27.0,gasoline,8,73.905,5
42898.0,Honda,2022,Japan,sedan,151.0,134.244,4.0,automatic,8,power,3078.0,abs,abs,51.0,45.0,hybrid,5,40.174,4
41904.0,Honda,2022,Japan,suv,190.0,242.72400000000002,4.0,automatic,8,power,3461.0,disc,disc,27.0,32.0,gasoline,5,53.06,4
39744.0,Honda,2022,Japan,suv,190.0,242.72400000000002,4.0,automatic,8,power,3345.0,disc,disc,28.0,34.0,gasoline,5,53.06,4
40176.0,Honda,2022,Japan,suv,190.0,242.72400000000002,4.0,automatic,8,power,3455.0,disc,disc,27.0,32.0,gasoline,5,53.06,4
34704.0,Honda,2022,Japan,hatchback,158.0,187.12800000000001,4.0,automatic,8,power,2984.0,disc,disc,29.0,37.0,gasoline,5,46.996,4
38722.0,Honda,2023,Japan,suv,158.0,187.12800000000001,4.0,automatic,8,power,3975.0,abs,abs,26.0,32.0,gasoline,5,68.22,4
38722.0,Honda,2023,Japan,suv,158.0,187.12800000000001,4.0,automatic,8,power,3975.0,abs,abs,26.0,32.0,gasoline,5,68.22,4
34301.0,Honda,2022,Japan,suv,141.0,172.21200000000002,4.0,automatic,8,power,2928.0,disc,disc,28.0,34.0,gasoline,5,50.028,4
34301.0,Honda,2022,Japan,suv,141.0,172.21200000000002,4.0,automatic,8,power,2928.0,disc,disc,28.0,34.0,gasoline,5,50.028,4
39312.0,Honda,2022,Japan,sedan,200.0,260.35200000000003,4.0,manual,6,power,2952.0,disc,disc,27.0,37.0,premium,5,46.996,4
42984.0,Honda,2022,Japan,hatchback,180.0,240.01200000000003,4.0,manual,6,power,3068.0,disc,disc,28.0,37.0,gasoline,5,46.996,4
38952.0,Honda,2022,Japan,hatchback,180.0,240.01200000000003,4.0,automatic,8,power,3088.0,disc,disc,31.0,39.0,gasoline,5,46.996,4
35352.0,Honda,2022,Japan,hatchback,158.0,187.12800000000001,4.0,manual,6,power,2962.0,disc,disc,26.0,36.0,gasoline,5,46.996,4
126000.0,BMW,2023,Germany,sedan,523.0,749.868,8.0,automatic,8,power,4758.0,disc,disc,17.0,24.0,gasoline,5,68.22,4
142992.0,BMW,2022,Germany,sedan,290.0,400.02000000000004,4.0,automatic,8,power,4155.0,disc,disc,14.0,18.0,diesel,4,66.0,4
129413.0,BMW,2022,Germany,sedan,290.0,400.02000000000004,4.0,manual,8,power,4155.0,disc,disc,13.0,18.0,gasoline,4,68.0,4
129413.0,BMW,2022,Germany,sedan,290.0,400.02000000000004,4.0,automatic,8,power,4155.0,disc,disc,13.0,18.0,diesel,4,68.0,4
126533.0,BMW,2022,Germany,sedan,290.0,400.02000000000004,4.0,automatic,8,power,4155.0,disc,disc,13.0,18.0,gasoline,4,68.0,4
126518.0,BMW,2022,Germany,sedan,290.0,400.02000000000004,4.0,automatic,8,power,4155.0,disc,disc,14.0,18.0,diesel,4,66.0,4
1144800.0,BMW,2023,Germany,coupe,617.0,749.868,4.0,automatic,8,power,4295.0,abs,abs,15.0,21.0,premium,4,76.179,2
270922.0,BMW,2022,Toledo North,suv,335.25,450.0,6.0,automatic,8,power,3924.0,disc,disc,21.0,26.0,gasoline,5,83.00099999999999,4
81864.0,BMW,2023,Toledo North,sedan,382.0,500.36400000000003,6.0,automatic,8,power,3968.0,disc,disc,23.0,32.0,gasoline,5,59.124,4
63792.0,BMW,2023,Toledo North,sedan,255.0,400.02000000000004,4.0,automatic,8,power,3764.0,disc,disc,25.0,34.0,gasoline,5,59.124,4
78912.0,BMW,2023,Germany,sedan,248.0,349.848,4.0,automatic,8,power,3765.0,abs,abs,25.0,33.0,gasoline,5,68.22,4
206928.0,BMW,2023,Germany,convertible,617.0,749.868,4.0,automatic,8,power,4560.0,abs,abs,15.0,22.0,premium,4,76.179,2
134338.0,BMW,2023,United States,sedan,375.0,519.3480000000001,6.0,automatic,8,power,3975.0,disc,disc,20.0,26.0,gasoline,5,73.905,4
112450.0,BMW,2023,Toledo North,suv,170.0,184.0,6.0,automatic,8,power,5646.0,disc,disc,124.0,102.0,electric,4,68.22,2
127512.0,BMW,2023,Germany,sedan,510.0,649.524,6.0,automatic,8,power,3975.0,ventilated disc,ventilated disc,20.0,26.0,gasoline,5,68.22,4
66096.0,BMW,2023,Germany,hatchback,255.0,400.02000000000004,4.0,automatic,8,power,3792.0,disc,disc,20.0,26.0,gasoline,5,59.124,4
55584.0,BMW,2023,Germany,suv,241.0,400.02000000000004,4.0,automatic,8,power,3726.0,ventilated disc,ventilated disc,23.0,31.0,gasoline,5,61.019000000000005,4
55584.0,BMW,2023,Germany,suv,241.0,400.02000000000004,4.0,automatic,8,power,3726.0,ventilated disc,ventilated disc,23.0,31.0,gasoline,5,61.019000000000005,4
65952.0,BMW,2023,Germany,suv,382.0,500.36400000000003,4.0,automatic,8,power,3977.0,disc,disc,23.0,32.0,gasoline,4,59.124,2
65952.0,BMW,2022,Germany,suv,255.0,400.02000000000004,4.0,automatic,8,power,3578.0,disc,disc,25.0,34.0,gasoline,4,59.124,2
60912.0,BMW,2023,Toledo North,sedan,255.0,400.02000000000004,4.0,automatic,8,power,3582.0,disc,disc,26.0,36.0,gasoline,5,59.124,4
143856.0,BMW,2023,Germany,sedan,523.0,749.868,8.0,automatic,8,power,4758.0,disc,disc,17.0,24.0,gasoline,5,68.22,4
157536.0,BMW,2023,Germany,convertible,523.0,749.868,8.0,automatic,8,power,4736.0,disc,disc,17.0,24.0,gasoline,5,68.22,4
206928.0,BMW,2023,Germany,convertible,617.0,749.868,4.0,automatic,8,power,4560.0,abs,abs,15.0,22.0,premium,4,76.179,2
163584.0,BMW,2023,United States,sedan,536.0,749.868,8.0,automatic,8,power,3975.0,disc,disc,20.0,26.0,gasoline,5,73.905,4
67968.0,BMW,2023,Germany,hatchback,255.0,400.02000000000004,4.0,automatic,8,power,3792.0,abs,abs,23.0,33.0,premium,5,59.124,4
107856.0,BMW,2022,United States,coupe,503.0,649.524,4.0,automatic,8,power,3880.0,disc,disc,16.0,23.0,gasoline,4,59.124,4
148464.0,BMW,2023,United States,suv,523.0,749.868,4.0,automatic,8,power,3975.0,disc,disc,20.0,26.0,gasoline,7,83.00099999999999,5
163584.0,BMW,2023,Germany,sedan,536.0,744.4440000000001,4.0,automatic,8,electric,4848.0,disc,disc,20.0,26.0,electric,5,68.22,4
134338.0,BMW,2023,United States,sedan,375.0,519.3480000000001,6.0,automatic,8,power,3975.0,disc,disc,20.0,26.0,gasoline,5,73.905,4
146866.0,BMW,2023,Germany,hatchback,488.0,729.528,6.0,automatic,8,power,3792.0,abs,abs,20.0,26.0,gasoline,5,59.124,4
148464.0,BMW,2023,United States,suv,523.0,749.868,4.0,automatic,8,power,3975.0,disc,disc,20.0,26.0,gasoline,7,83.00099999999999,5
126576.0,BMW,2023,Germany,coupe,335.0,499.00800000000004,6.0,automatic,8,power,4081.0,disc,disc,20.0,27.0,gasoline,4,68.22,2
130896.0,BMW,2022,Germany,coupe,335.0,499.00800000000004,6.0,automatic,8,power,4081.0,disc,disc,20.0,27.0,gasoline,4,68.22,2
81648.0,BMW,2022,Germany,coupe,382.0,500.36400000000003,6.0,automatic,8,power,3977.0,abs,abs,25.0,34.0,premium,4,59.124,2
122400.0,BMW,2023,Germany,coupe,335.0,499.00800000000004,6.0,automatic,8,power,4262.0,abs,abs,22.0,29.0,gasoline,5,68.22,4
145289.0,BMW,2022,Germany,sedan,523.0,749.868,8.0,automatic,8,power,4758.0,disc,disc,17.0,24.0,gasoline,5,68.22,4
84528.0,BMW,2022,Germany,coupe,382.0,500.36400000000003,6.0,automatic,8,power,3977.0,abs,abs,23.0,32.0,premium,4,59.124,2
156816.0,BMW,2023,Germany,suv,532.0,1015.6440000000001,4.0,automatic,1,electric,5769.0,disc,disc,100.0,117.0,electric,5,68.22,4
65232.0,BMW,2023,Germany,sedan,288.0,420.36,4.0,automatic,8,power,4138.0,disc,disc,20.0,26.0,hybrid,5,40.174,4
201456.0,BMW,2023,Germany,sedan,612.0,800.0400000000001,8.0,automatic,8,power,4831.0,abs,abs,17.0,24.0,gasoline,5,68.22,4
202882.0,BMW,2023,Germany,coupe,617.0,749.868,4.0,automatic,8,power,4295.0,abs,abs,15.0,21.0,premium,4,76.179,2
84528.0,BMW,2023,Germany,sedan,288.0,420.36,4.0,automatic,8,power,4321.0,abs,abs,20.0,26.0,hybrid,5,45.859,4
62352.0,BMW,2023,Germany,sedan,288.0,420.36,4.0,automatic,8,power,4039.0,disc,disc,20.0,26.0,hybrid,5,40.174,4
92016.0,BMW,2023,Germany,sedan,335.0,450.192,4.0,automatic,8,power,4050.0,abs,abs,22.0,29.0,gasoline,5,68.22,4
115056.0,BMW,2023,Germany,suv,523.0,749.868,4.0,automatic,8,power,4275.0,abs,abs,17.0,25.0,gasoline,5,68.22,4
140112.0,BMW,2023,Germany,convertible,335.0,499.00800000000004,6.0,automatic,8,power,4356.0,abs,abs,20.0,27.0,gasoline,5,68.22,4
135936.0,BMW,2023,Germany,convertible,335.0,499.00800000000004,6.0,automatic,8,power,4211.0,abs,abs,22.0,29.0,gasoline,5,68.22,4
143856.0,BMW,2023,Germany,coupe,523.0,749.868,8.0,automatic,8,power,4478.0,abs,abs,17.0,25.0,gasoline,5,68.22,4
126576.0,BMW,2023,Toledo North,coupe,335.0,499.00800000000004,6.0,automatic,8,rack & pinion,4081.0,disc,disc,21.0,29.0,gasoline,4,68.22,2
126576.0,BMW,2022,Toledo North,coupe,335.0,499.00800000000004,6.0,automatic,8,rack & pinion,4081.0,disc,disc,20.0,27.0,gasoline,4,68.22,2
