price_in_aud,year,engine_power_hp,torque_nm,no_of_cylinders,gear_box_speed,kerb_weight_lbs,mileage_in_city_mpg,mileage_on_highway_mpg,seating_capacity,fuel_tank_capacity_litres,no_of_doors,brand,made_in,body_type,transmission_type,steering_type,front_brake,rear_brake,fuel_type
25963.0,2022,290.0,400.02,4.0,6,2625.0,15.32,20.68,5,40.0,4,Honda,Japan,sedan,manual,power,ventilated disc,drum,diesel
23256.0,2022,290.0,400.02,4.0,6,2625.0,16.28,20.68,5,40.0,4,Honda,Japan,sedan,manual,power,ventilated disc,drum,gasoline
23515.0,2022,290.0,400.02,4.0,6,2625.0,15.32,20.68,5,40.0,4,Honda,Japan,sedan,manual,power,ventilated disc,drum,diesel
20650.0,2022,290.0,400.02,4.0,6,2625.0,15.32,20.68,5,40.0,4,Honda,Japan,sedan,manual,power,ventilated disc,drum,gasoline
23155.0,2022,290.0,400.02,4.0,8,2625.0,16.28,20.68,5,40.0,4,Honda,Japan,sedan,automatic,power,ventilated disc,drum,gasoline
20635.0,2022,290.0,400.02,4.0,6,2625.0,15.32,20.68,5,40.0,4,Honda,Japan,suv,manual,power,ventilated disc,drum,diesel
45792.0,2023,190.0,242.724,4.0,8,3975.0,27.0,32.0,5,53.06,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
41314.0,2023,158.0,187.128,4.0,8,3975.0,26.0,32.0,5,56.092000000000006,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
38722.0,2023,158.0,187.128,4.0,8,3975.0,26.0,32.0,5,68.22,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
34056.0,2023,158.0,187.128,4.0,8,3975.0,26.0,32.0,5,68.22,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
34056.0,2023,158.0,187.128,4.0,8,3975.0,26.0,32.0,5,68.22,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
44194.0,2023,158.0,187.128,4.0,8,3975.0,25.0,30.0,5,68.22,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
41602.0,2023,158.0,187.128,4.0,8,3975.0,25.0,30.0,5,68.22,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
35784.0,2023,158.0,187.128,4.0,8,3975.0,25.0,30.0,5,68.22,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
39600.0,2022,200.0,260.35200000000003,4.0,6,2952.0,27.0,37.0,5,46.996,4,Honda,Japan,sedan,manual,power,disc,disc,premium
41155.0,2022,192.0,260.35200000000003,4.0,8,3223.0,29.0,35.0,5,56.092000000000006,4,Honda,Japan,sedan,automatic,power,disc,disc,gasoline
22349.0,2022,130.0,154.584,4.0,6,2553.0,29.0,36.0,5,40.174,4,Honda,Japan,hatchback,automatic,power,disc,disc,gasoline
27302.0,2022,128.0,153.228,4.0,6,2644.0,31.0,36.0,5,40.174,4,Honda,Japan,hatchback,automatic,power,disc,disc,gasoline
23314.0,2022,130.0,154.584,4.0,6,2522.0,29.0,36.0,5,40.174,4,Honda,Japan,hatchback,automatic,power,disc,disc,gasoline
31493.0,2022,141.0,172.21200000000002,4.0,8,2974.0,28.0,34.0,5,50.028,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
57557.0,2022,280.0,355.27200000000005,4.0,9,4236.0,19.0,24.0,5,73.905,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
41314.0,2023,158.0,187.128,4.0,8,3975.0,26.0,32.0,5,56.092000000000006,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
38261.0,2022,141.0,172.21200000000002,4.0,8,2974.0,28.0,34.0,5,50.028,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
36101.0,2022,141.0,172.21200000000002,4.0,8,2959.0,28.0,34.0,5,50.028,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
34056.0,2023,158.0,187.128,4.0,8,3975.0,26.0,32.0,5,68.22,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
38722.0,2023,158.0,187.128,4.0,8,3975.0,26.0,32.0,5,68.22,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
36461.0,2022,141.0,172.21200000000002,4.0,8,3096.0,26.0,31.0,5,50.028,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
63806.0,2022,280.0,355.27200000000005,6.0,9,4251.0,19.0,25.0,8,73.905,5,Honda,Japan,suv,automatic,rack & pinion,abs,abs,gasoline
34056.0,2023,158.0,187.128,4.0,8,3975.0,26.0,32.0,5,68.22,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
47894.0,2022,252.0,370.1880000000001,4.0,10,3380.0,22.0,32.0,5,56.092000000000006,4,Honda,Japan,sedan,automatic,power,disc,disc,gasoline
44165.0,2022,212.0,174.924,4.0,8,3375.0,44.0,41.0,5,48.512,4,Honda,Japan,sedan,automatic,power,disc,disc,hybrid
43301.0,2022,192.0,260.35200000000003,4.0,8,3230.0,29.0,35.0,5,56.092000000000006,4,Honda,Japan,sedan,automatic,power,disc,disc,gasoline
59990.0,2022,280.0,355.27200000000005,6.0,9,4255.0,19.0,26.0,8,73.905,4,Honda,Japan,suv,automatic,power,abs,abs,gasoline
57110.0,2022,280.0,355.27200000000005,6.0,9,4070.0,20.0,27.0,8,73.905,4,Honda,Japan,suv,automatic,power,abs,abs,gasoline
61157.0,2022,280.0,355.27200000000005,4.0,9,4229.0,19.0,24.0,5,73.905,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
42912.0,2022,180.0,240.01200000000003,4.0,8,3126.0,28.0,37.0,5,46.996,4,Honda,Japan,hatchback,automatic,power,disc,disc,gasoline
35856.0,2022,158.0,187.128,4.0,8,2984.0,29.0,37.0,5,46.996,4,Honda,Japan,hatchback,automatic,power,disc,disc,gasoline
50098.0,2022,280.0,355.27200000000005,4.0,9,4145.0,20.0,25.0,5,73.905,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
42926.0,2022,192.0,260.35200000000003,4.0,8,3230.0,29.0,35.0,5,56.092000000000006,4,Honda,Japan,sedan,automatic,power,disc,disc,gasoline
54792.0,2022,252.0,370.1880000000001,4.0,10,3430.0,22.0,32.0,5,56.092000000000006,4,Honda,Japan,sedan,automatic,power,disc,disc,gasoline
46714.0,2022,192.0,260.35200000000003,4.0,8,3221.0,30.0,38.0,5,56.092000000000006,4,Honda,Japan,sedan,automatic,power,disc,disc,gasoline
41155.0,2022,192.0,260.35200000000003,4.0,8,3223.0,29.0,35.0,5,56.092000000000006,4,Honda,Japan,sedan,automatic,power,disc,disc,gasoline
37613.0,2022,192.0,260.35200000000003,4.0,8,3150.0,30.0,38.0,5,56.092000000000006,4,Honda,Japan,sedan,automatic,power,disc,disc,gasoline
53035.0,2022,280.0,355.27200000000005,6.0,9,4030.0,20.0,27.0,8,73.905,5,Honda,Japan,suv,automatic,power,abs,abs,gasoline
73973.0,2022,280.0,355.27200000000005,6.0,9,4321.0,19.0,26.0,7,73.905,4,Honda,Japan,suv,automatic,power,abs,abs,gasoline
55915.0,2022,280.0,355.27200000000005,6.0,9,4202.0,19.0,26.0,8,73.905,5,Honda,Japan,suv,automatic,power,abs,abs,gasoline
53035.0,2022,280.0,355.27200000000005,6.0,9,4030.0,20.0,27.0,8,73.905,5,Honda,Japan,suv,automatic,power,abs,abs,gasoline
42898.0,2022,151.0,134.244,4.0,8,3078.0,51.0,45.0,5,40.174,4,Honda,Japan,sedan,automatic,power,abs,abs,hybrid
41904.0,2022,190.0,242.724,4.0,8,3461.0,27.0,32.0,5,53.06,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
39744.0,2022,190.0,242.724,4.0,8,3345.0,28.0,34.0,5,53.06,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
40176.0,2022,190.0,242.724,4.0,8,3455.0,27.0,32.0,5,53.06,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
34704.0,2022,158.0,187.128,4.0,8,2984.0,29.0,37.0,5,46.996,4,Honda,Japan,hatchback,automatic,power,disc,disc,gasoline
38722.0,2023,158.0,187.128,4.0,8,3975.0,26.0,32.0,5,68.22,4,Honda,Japan,suv,automatic,power,abs,abs,gasoline
38722.0,2023,158.0,187.128,4.0,8,3975.0,26.0,32.0,5,68.22,4,Honda,Japan,suv,automatic,power,abs,abs,gasoline
34301.0,2022,141.0,172.21200000000002,4.0,8,2928.0,28.0,34.0,5,50.028,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
34301.0,2022,141.0,172.21200000000002,4.0,8,2928.0,28.0,34.0,5,50.028,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
39312.0,2022,200.0,260.35200000000003,4.0,6,2952.0,27.0,37.0,5,46.996,4,Honda,Japan,sedan,manual,power,disc,disc,premium
42984.0,2022,180.0,240.01200000000003,4.0,6,3068.0,28.0,37.0,5,46.996,4,Honda,Japan,hatchback,manual,power,disc,disc,gasoline
38952.0,2022,180.0,240.01200000000003,4.0,8,3088.0,31.0,39.0,5,46.996,4,Honda,Japan,hatchback,automatic,power,disc,disc,gasoline
35352.0,2022,158.0,187.128,4.0,6,2962.0,26.0,36.0,5,46.996,4,Honda,Japan,hatchback,manual,power,disc,disc,gasoline
126000.0,2023,523.0,749.868,8.0,8,4758.0,17.0,24.0,5,68.22,4,BMW,Germany,sedan,automatic,power,disc,disc,gasoline
142992.0,2022,290.0,400.02,4.0,8,4155.0,14.0,18.0,4,66.0,4,BMW,Germany,sedan,automatic,power,disc,disc,diesel
129413.0,2022,290.0,400.02,4.0,8,4155.0,13.0,18.0,4,68.0,4,BMW,Germany,sedan,manual,power,disc,disc,gasoline
129413.0,2022,290.0,400.02,4.0,8,4155.0,13.0,18.0,4,68.0,4,BMW,Germany,sedan,automatic,power,disc,disc,diesel
126533.0,2022,290.0,400.02,4.0,8,4155.0,13.0,18.0,4,68.0,4,BMW,Germany,sedan,automatic,power,disc,disc,gasoline
126518.0,2022,290.0,400.02,4.0,8,4155.0,14.0,18.0,4,66.0,4,BMW,Germany,sedan,automatic,power,disc,disc,diesel
1144800.0,2023,617.0,749.868,4.0,8,4295.0,15.0,21.0,4,76.179,2,BMW,Germany,coupe,automatic,power,abs,abs,premium
270922.0,2022,335.25,450.0,6.0,8,3924.0,21.0,26.0,5,83.00099999999999,4,BMW,Toledo North,suv,automatic,power,disc,disc,gasoline
81864.0,2023,382.0,500.364,6.0,8,3968.0,23.0,32.0,5,59.124,4,BMW,Toledo North,sedan,automatic,power,disc,disc,gasoline
63792.0,2023,255.0,400.02,4.0,8,3764.0,25.0,34.0,5,59.124,4,BMW,Toledo North,sedan,automatic,power,disc,disc,gasoline
78912.0,2023,248.0,349.848,4.0,8,3765.0,25.0,33.0,5,68.22,4,BMW,Germany,sedan,automatic,power,abs,abs,gasoline
206928.0,2023,617.0,749.868,4.0,8,4560.0,15.0,22.0,4,76.179,2,BMW,Germany,convertible,automatic,power,abs,abs,premium
134338.0,2023,375.0,519.3480000000001,6.0,8,3975.0,20.0,26.0,5,73.905,4,BMW,United States,sedan,automatic,power,disc,disc,gasoline
112450.0,2023,170.0,184.0,6.0,8,5646.0,124.0,102.0,4,68.22,2,BMW,Toledo North,suv,automatic,power,disc,disc,electric
127512.0,2023,510.0,649.524,6.0,8,3975.0,20.0,26.0,5,68.22,4,BMW,Germany,sedan,automatic,power,ventilated disc,ventilated disc,gasoline
66096.0,2023,255.0,400.02,4.0,8,3792.0,20.0,26.0,5,59.124,4,BMW,Germany,hatchback,automatic,power,disc,disc,gasoline
55584.0,2023,241.0,400.02,4.0,8,3726.0,23.0,31.0,5,61.019000000000005,4,BMW,Germany,suv,automatic,power,ventilated disc,ventilated disc,gasoline
55584.0,2023,241.0,400.02,4.0,8,3726.0,23.0,31.0,5,61.019000000000005,4,BMW,Germany,suv,automatic,power,ventilated disc,ventilated disc,gasoline
65952.0,2023,382.0,500.364,4.0,8,3977.0,23.0,32.0,4,59.124,2,BMW,Germany,suv,automatic,power,disc,disc,gasoline
65952.0,2022,255.0,400.02,4.0,8,3578.0,25.0,34.0,4,59.124,2,BMW,Germany,suv,automatic,power,disc,disc,gasoline
60912.0,2023,255.0,400.02,4.0,8,3582.0,26.0,36.0,5,59.124,4,BMW,Toledo North,sedan,automatic,power,disc,disc,gasoline
143856.0,2023,523.0,749.868,8.0,8,4758.0,17.0,24.0,5,68.22,4,BMW,Germany,sedan,automatic,power,disc,disc,gasoline
157536.0,2023,523.0,749.868,8.0,8,4736.0,17.0,24.0,5,68.22,4,BMW,Germany,convertible,automatic,power,disc,disc,gasoline
206928.0,2023,617.0,749.868,4.0,8,4560.0,15.0,22.0,4,76.179,2,BMW,Germany,convertible,automatic,power,abs,abs,premium
163584.0,2023,536.0,749.868,8.0,8,3975.0,20.0,26.0,5,73.905,4,BMW,United States,sedan,automatic,power,disc,disc,gasoline
67968.0,2023,255.0,400.02,4.0,8,3792.0,23.0,33.0,5,59.124,4,BMW,Germany,hatchback,automatic,power,abs,abs,premium
107856.0,2022,503.0,649.524,4.0,8,3880.0,16.0,23.0,4,59.124,4,BMW,United States,coupe,automatic,power,disc,disc,gasoline
148464.0,2023,523.0,749.868,4.0,8,3975.0,20.0,26.0,7,83.00099999999999,5,BMW,United States,suv,automatic,power,disc,disc,gasoline
163584.0,2023,536.0,744.4440000000001,4.0,8,4848.0,20.0,26.0,5,68.22,4,BMW,Germany,sedan,automatic,electric,disc,disc,electric
134338.0,2023,375.0,519.3480000000001,6.0,8,3975.0,20.0,26.0,5,73.905,4,BMW,United States,sedan,automatic,power,disc,disc,gasoline
146866.0,2023,488.0,729.528,6.0,8,3792.0,20.0,26.0,5,59.124,4,BMW,Germany,hatchback,automatic,power,abs,abs,gasoline
148464.0,2023,523.0,749.868,4.0,8,3975.0,20.0,26.0,7,83.00099999999999,5,BMW,United States,suv,automatic,power,disc,disc,gasoline
126576.0,2023,335.0,499.008,6.0,8,4081.0,20.0,27.0,4,68.22,2,BMW,Germany,coupe,automatic,power,disc,disc,gasoline
130896.0,2022,335.0,499.008,6.0,8,4081.0,20.0,27.0,4,68.22,2,BMW,Germany,coupe,automatic,power,disc,disc,gasoline
81648.0,2022,382.0,500.364,6.0,8,3977.0,25.0,34.0,4,59.124,2,BMW,Germany,coupe,automatic,power,abs,abs,premium
122400.0,2023,335.0,499.008,6.0,8,4262.0,22.0,29.0,5,68.22,4,BMW,Germany,coupe,automatic,power,abs,abs,gasoline
145289.0,2022,523.0,749.868,8.0,8,4758.0,17.0,24.0,5,68.22,4,BMW,Germany,sedan,automatic,power,disc,disc,gasoline
84528.0,2022,382.0,500.364,6.0,8,3977.0,23.0,32.0,4,59.124,2,BMW,Germany,coupe,automatic,power,abs,abs,premium
156816.0,2023,532.0,1015.644,4.0,1,5769.0,100.0,117.0,5,68.22,4,BMW,Germany,suv,automatic,electric,disc,disc,electric
65232.0,2023,288.0,420.36,4.0,8,4138.0,20.0,26.0,5,40.174,4,BMW,Germany,sedan,automatic,power,disc,disc,hybrid
201456.0,2023,612.0,800.0400000000001,8.0,8,4831.0,17.0,24.0,5,68.22,4,BMW,Germany,sedan,automatic,power,abs,abs,gasoline
202882.0,2023,617.0,749.868,4.0,8,4295.0,15.0,21.0,4,76.179,2,BMW,Germany,coupe,automatic,power,abs,abs,premium
