price_in_aud,year,engine_power_hp,torque_nm,no_of_cylinders,gear_box_speed,kerb_weight_lbs,mileage_in_city_mpg,mileage_on_highway_mpg,seating_capacity,fuel_tank_capacity_litres,no_of_doors,brand,made_in,body_type,transmission_type,steering_type,front_brake,rear_brake,fuel_type
44928.0,2022,310.0,471.888,4.0,8,3975.0,20.0,23.0,4,106.12,2,GMC,United States,truck,automatic,electric rack & pinion,disc,disc,gasoline
99072.0,2022,401.0,629.1840000000001,8.0,8,3975.0,20.0,26.0,5,136.44,4,GMC,United States,truck,automatic,re-circulating bal,disc,disc,gasoline
89712.0,2022,401.0,629.1840000000001,8.0,8,3975.0,20.0,26.0,5,136.44,4,GMC,United States,truck,automatic,re-circulating bal,disc,disc,gasoline
152050.0,2022,830.0,2034.0,4.0,8,3975.0,20.0,26.0,5,68.22,4,GMC,United States,suv,automatic,power,disc,disc,gasoline
57888.0,2022,308.0,372.9,6.0,8,7550.0,17.0,24.0,5,79.59,4,GMC,United States,suv,automatic,electric rack & pinion,disc,disc,gasoline
55296.0,2022,308.0,372.9,6.0,8,7550.0,17.0,24.0,5,79.59,4,GMC,United States,suv,automatic,electric rack & pinion,disc,disc,gasoline
64368.0,2022,308.0,372.9,6.0,8,7550.0,17.0,24.0,5,79.59,4,GMC,United States,suv,automatic,electric rack & pinion,disc,disc,gasoline
46368.0,2022,308.0,372.9,6.0,8,7000.0,17.0,24.0,4,79.59,4,GMC,United States,suv,automatic,power,disc,disc,gasoline
38592.0,2022,200.0,258.99600000000004,4.0,8,7000.0,19.0,25.0,4,79.59,4,GMC,United States,suv,automatic,power,disc,disc,gasoline
80784.0,2022,401.0,629.1840000000001,8.0,8,3975.0,20.0,26.0,5,136.44,4,GMC,United States,truck,automatic,re-circulating bal,disc,disc,gasoline
64368.0,2022,401.0,629.1840000000001,8.0,8,3975.0,20.0,26.0,5,136.44,4,GMC,United States,truck,automatic,re-circulating bal,disc,disc,gasoline
56736.0,2022,401.0,629.1840000000001,8.0,8,3975.0,20.0,26.0,5,136.44,4,GMC,United States,truck,automatic,re-circulating bal,disc,disc,gasoline
97344.0,2022,401.0,629.1840000000001,8.0,6,3975.0,20.0,26.0,5,136.44,4,GMC,United States,truck,automatic,re-circulating bal,disc,disc,gasoline
87984.0,2022,401.0,629.1840000000001,8.0,6,3975.0,20.0,26.0,5,136.44,4,GMC,United States,truck,automatic,re-circulating bal,disc,disc,gasoline
76464.0,2022,401.0,629.1840000000001,8.0,6,3975.0,20.0,26.0,6,136.44,4,GMC,United States,truck,automatic,re-circulating bal,disc,disc,gasoline
62640.0,2022,401.0,629.1840000000001,8.0,6,3975.0,20.0,26.0,4,136.44,2,GMC,United States,truck,automatic,re-circulating bal,disc,disc,gasoline
55008.0,2022,401.0,629.1840000000001,8.0,6,3975.0,20.0,26.0,4,136.44,2,GMC,United States,truck,automatic,re-circulating bal,disc,disc,gasoline
81792.0,2022,355.0,519.3480000000001,8.0,8,3975.0,15.0,22.0,5,90.96,4,GMC,United States,truck,automatic,electric rack & pinion,disc,disc,gasoline
69840.0,2022,355.0,519.3480000000001,8.0,8,3975.0,15.0,22.0,6,90.96,4,GMC,United States,truck,automatic,electric rack & pinion,disc,disc,gasoline
59328.0,2022,276.0,404.088,6.0,8,3975.0,20.0,26.0,12,117.49,5,GMC,Japan,van,automatic,power,disc,disc,gasoline
57888.0,2022,276.0,404.088,6.0,8,3975.0,20.0,26.0,12,117.49,5,GMC,Japan,van,automatic,power,disc,disc,gasoline
56160.0,2022,276.0,404.088,6.0,8,3975.0,20.0,26.0,12,117.49,5,GMC,Japan,van,automatic,power,disc,disc,gasoline
55008.0,2022,276.0,404.088,6.0,8,3975.0,20.0,26.0,12,117.49,5,GMC,Japan,van,automatic,power,disc,disc,gasoline
61056.0,2022,310.0,471.888,4.0,8,3975.0,20.0,23.0,6,90.96,4,GMC,United States,truck,automatic,electric rack & pinion,disc,disc,gasoline
61344.0,2022,308.0,372.9,6.0,8,7000.0,18.0,25.0,5,79.59,4,GMC,United States,suv,automatic,electric rack & pinion,disc,disc,gasoline
69984.0,2022,310.0,367.476,4.0,9,4525.0,19.0,26.0,6,83.38,4,GMC,United States,suv,automatic,electric rack & pinion,disc,disc,gasoline
